Generation,Mean_RMSE,Std_Dev,Best_RMSE
449,35.59043,1.2646697,33.3391
450,35.58776,1.2676009,33.3391
451,35.57941,1.2710674,33.327114
452,35.565414,1.267916,33.327114
453,35.543266,1.2767342,33.327114
454,35.53278,1.2746704,33.327114
455,35.52123,1.2882149,33.327114
456,35.51048,1.2924001,33.327114
457,35.500656,1.2945734,33.327114
458,35.489056,1.2964323,33.327114
459,35.47634,1.3043174,33.327114
460,35.453804,1.3019401,33.327114
461,35.44913,1.3024257,33.327114
462,35.435757,1.2964494,33.327114
463,35.428368,1.2985806,33.327114
464,35.419823,1.2897595,33.327114
465,35.410767,1.2788956,33.327114
466,35.400528,1.2828523,33.327114
467,35.38759,1.2817515,33.327114
468,35.385967,1.2825447,33.327114
469,35.354546,1.299251,33.327114
470,35.34442,1.2926968,33.327114
471,35.3422,1.2945018,33.327114
472,35.33718,1.292924,33.327114
473,35.327213,1.2907294,33.327114
474,35.31342,1.281426,33.327114
475,35.29859,1.27786,33.327114
476,35.289318,1.2690092,33.327114
477,35.286377,1.2704214,33.327114
478,35.268314,1.2699096,33.327114
479,35.260757,1.2709261,33.327114
480,35.252438,1.2693884,33.327114
481,35.230904,1.2707947,33.327114
482,35.21692,1.2630545,33.327114
483,35.205956,1.2639762,33.327114
484,35.197598,1.2649485,33.300026
485,35.195976,1.2643174,33.287315
486,35.188343,1.2650056,33.287315
487,35.185688,1.2629365,33.287315
488,35.17853,1.2623501,33.287315
489,35.163918,1.2640078,33.287315
490,35.15874,1.2702738,33.234226
491,35.15321,1.2661841,33.234226
492,35.13051,1.2809919,33.149174
493,35.125664,1.2820857,33.149174
494,35.109055,1.2711853,33.149174
495,35.093945,1.2759837,33.149174
496,35.077934,1.2758393,33.149174
497,35.06838,1.2761545,33.149174
498,35.05758,1.2790754,33.149174
499,35.056087,1.2790757,33.149174
500,35.04527,1.2716715,33.149174
501,35.035603,1.2735347,33.149174
502,35.027203,1.2787468,33.149174
503,35.019726,1.2723315,33.149174
504,35.010914,1.2703295,33.149174
505,35.00318,1.2752492,33.149174
506,34.98118,1.2803054,33.149174
507,34.969063,1.2800201,33.149174
508,34.961727,1.2809799,33.149174
509,34.95826,1.2802197,33.149174
510,34.93706,1.2753718,33.149174
511,34.927544,1.2655029,33.149174
